Username,Name,Tweet Text,Tweet URL
ofrotos,Long Toes,"@RadioElshinta Akhirnya paham knp si anak haram konstitusi bisa terpilih jd wakil presiden. Kebodohan benar2 merata dr hulu smp hilir, sharusnya  pejabat bs memberi cntoh yg baik tp malah mempertontonkan kebodohan n tdk bijak aplg klo membiarkan pemiliknya bbs dr tanggungjwab. #ResetIndonesia",https://twitter.com/ofrotos/status/1976208778551755061
PernahSekali2X,Lupakan saja,@LexWu_13 #ResetIndonesia,https://twitter.com/PernahSekali2X/status/1976199342932582440
PernahSekali2X,Lupakan saja,#ResetIndonesia,https://twitter.com/PernahSekali2X/status/1976157883130892350
aetheristhic,swensiang RBUY BANGET MAKSIMAL,@kriyaoi Sama sama #ResetIndonesia,https://twitter.com/aetheristhic/status/1976157765916869066
IwanKur76179751,13.12 WIB,#ResetIndonesia,https://twitter.com/IwanKur76179751/status/1976144336522985815
berilhuliselan,Beril Huliselan ğŸ‡®ğŸ‡©,"@CNNIndonesia Ini cuma bagi-bagi proyek buat tim sukses, dan gak memperbaiki insfrastruktur pendidikan yang buruk di berbagai daerah.
#ResetIndonesia",https://twitter.com/berilhuliselan/status/1976143871886196903
fikrisirnight,ğŸ‡®ğŸ‡© Magnoli Alfikri,#ResetIndonesia moment https://t.co/23879o3Zij,https://twitter.com/fikrisirnight/status/1976125053445210165
zoompalitan,aku dalang,"Ini negara emang ga ditakdirin buat maju, harus dibersihin dulu atasnya. Mau Timnas masuk pildun kan? #ResetIndonesia",https://twitter.com/zoompalitan/status/1976090986796417463
Dewi67216391,Dewi ğŸ‡²ğŸ‡¨,"#ResetIndonesia
Warga jaga warga https://t.co/tWoeSfJylC",https://twitter.com/Dewi67216391/status/1976069059092635870
5ulam_4ja,"Lurker ""Gov shitpost""","Indonesia has fallen! :(

Indonesia needs a new government with executive, legislative, and judicial branches that are transparent and completely free of corruption.
#ResetIndonesia",https://twitter.com/5ulam_4ja/status/1976065372060324089
zhrkivejpg,ingeâœ° (slow),24. header #ResetIndonesia,https://twitter.com/zhrkivejpg/status/1975975691150930378
srpablo,Pablo #1312,"yg paling sinting: dari zaman gue masi wartawan 8 tahun lalu, kuliah &amp; tinggal di luar 6 tahun ampe balik lagi kesiniâ€¦ standar emisi kita masih kaga lolos tuh Euro 4. Sedangkan di Eropa udh Euro 6 ğŸ™ƒ

trus pemerintah lu kerjaannya ngapain?

maling ama malak doang #ResetIndonesia",https://twitter.com/srpablo/status/1975851696766190063
ghaniyos,Ghani Yoseph,#ResetIndonesia https://t.co/IY3rF1MGiB,https://twitter.com/ghaniyos/status/1975836835848069307
idbaruid,Ekspedisi Indonesia Baru,"Begini kata pemesan soal buku #ResetIndonesia ğŸ˜Š Ada yang ngerasa sama nggak, nih? https://t.co/PV0jMDidfD",https://twitter.com/idbaruid/status/1975827111136141771
Fazaroo,ğŸ‡µğŸ‡¸NextStopâ´Â²ğŸŠğŸŒ¸,"? Kocakk, lu jgn ngadi2 anying

#ResetIndonesia #polisipembunuh",https://twitter.com/Fazaroo/status/1975811180192268508
RiaMarimar,Riareign ğŸ‘¿,"Asliii terharu, buku tlah tiba.... berasa menanti sekian purnamağŸ˜ğŸ˜† Thanks ya.... seperti yg aku janjikan buat diriku sendiri, aku akan belajar dari kalian. Thanks juga buat tanda tangannya
#ResetIndonesia 
@Dandhy_Laksono @faridgaban @BenayaHarobu  juga Yusuf Priambodo https://t.co/PvWXmHyqKb",https://twitter.com/RiaMarimar/status/1975775030320775414
erwinabcd_,Erwin Abdillah,"Akhirnya buku #ResetIndonesia sampai di pelukan. Salam Hormat @faridgaban @Dandhy_Laksono dkk! Teringat perjumpaan pertama di momentum rilis Sexy Killers hingga ke #wonosobo dan memulai ekspedisi dari kawasan #Dieng Baru smpai hlmn 56 tp sudah merasa ""umub"" klo kata org sini. ğŸ˜¡ https://t.co/aYmBzEc7Rk",https://twitter.com/erwinabcd_/status/1975770161262305623
srpablo,Pablo #1312,"Kalau diingat-ingat, demokrasi di negara ini udah terkutuk sejak Mulyono naik di 2014.

Demokrasi tanpa oposisi itu sejatinya demokrasi cacat. #ResetIndonesia",https://twitter.com/srpablo/status/1975582070731862338
Toha_ART,Irfan Fauzi Toha,"karena saya tak punya kekuatan,

Semoga Allah membalasnya dunia dan akhirat
#ResetIndonesia",https://twitter.com/Toha_ART/status/1975556067619971390
barengwarga,Bareng Warga - #BebaskanKawanKami,#ResetIndonesia spotted on 25 Tahun @ruangrupa. https://t.co/TbUukkIGvQ,https://twitter.com/barengwarga/status/1975550306001019059
